Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Detroit Pistons,Bojan Bogdanovic,44,SF,34,"6' 7""",226 lbs,--,"$20,000,000"
Detroit Pistons,Alec Burks,5,SG,32,"6' 6""",214 lbs,Colorado,"$10,489,600"
Detroit Pistons,Malcolm Cazalon,20,G,--,"6' 6""",185 lbs,--,--
Detroit Pistons,Cade Cunningham,2,PG,21,"6' 7""",220 lbs,Oklahoma State,"$11,055,240"
Detroit Pistons,Hamidou Diallo,6,SG,25,"6' 5""",202 lbs,Kentucky,--
Detroit Pistons,Jalen Duren,0,C,19,"6' 11""",250 lbs,Memphis,"$4,330,680"
Detroit Pistons,Joe Harris,12,SF,32,"6' 6""",220 lbs,Virginia,"$19,928,571"
Detroit Pistons,Killian Hayes,7,PG,22,"6' 5""",195 lbs,--,"$7,413,955"
Detroit Pistons,Jaden Ivey,23,PG,21,"6' 4""",195 lbs,Purdue,"$7,641,480"
Detroit Pistons,Isaiah Livers,12,PF,25,"6' 6""",232 lbs,Michigan,"$1,836,096"
Detroit Pistons,Rodney McGruder,17,G,32,"6' 4""",205 lbs,Kansas State,--
Detroit Pistons,Monte Morris,22,PG,28,"6' 2""",183 lbs,Iowa State,"$9,800,926"
Detroit Pistons,Jared Rhoden,8,G,24,"6' 6""",210 lbs,Seton Hall,--
Detroit Pistons,Marcus Sasser,NA,G,23,"6' 2""",195 lbs,Houston,"$2,623,680"
Detroit Pistons,Isaiah Stewart,28,C,22,"6' 8""",250 lbs,Washington,"$5,266,713"
Detroit Pistons,Ausar Thompson,NA,F,20,"6' 7""",190 lbs,--,"$7,977,480"
Detroit Pistons,James Wiseman,13,C,22,"7' 0""",240 lbs,Memphis,"$12,119,400"
Golden State Warriors,Stephen Curry,30,PG,35,"6' 2""",185 lbs,Davidson,"$51,915,615"
Golden State Warriors,Draymond Green,23,PF,33,"6' 6""",230 lbs,Michigan State,"$22,321,429"
Golden State Warriors,JaMychal Green,1,F,33,"6' 9""",227 lbs,Alabama,--
Golden State Warriors,Andre Iguodala,9,F,39,"6' 6""",215 lbs,Arizona,--
Golden State Warriors,Trayce Jackson-Davis,NA,F,23,"6' 9""",245 lbs,Indiana,"$1,119,563"
Golden State Warriors,Cory Joseph,18,PG,32,"6' 3""",200 lbs,Texas,"$2,019,706"
Golden State Warriors,Jonathan Kuminga,00,PF,20,"6' 7""",225 lbs,--,"$6,012,840"
Golden State Warriors,Anthony Lamb,40,F,25,"6' 6""",227 lbs,Vermont,--
Golden State Warriors,Kevon Looney,5,F,27,"6' 9""",222 lbs,UCLA,"$7,500,000"
Golden State Warriors,Moses Moody,4,SG,21,"6' 5""",211 lbs,Arkansas,"$3,918,480"
Golden State Warriors,Chris Paul,NA,PG,38,"6' 0""",175 lbs,Wake Forest,"$30,800,000"
Golden State Warriors,Gary Payton II,8,SG,30,"6' 2""",195 lbs,Oregon State,"$8,715,000"
